Ref,PosX,PosY,Side,Rot
C1,78.083,-143.496,top,270
C2,100.955,-136.777,top,0
C3,115.315,-153.08,top,180
C4,100.943,-138.301,top,0
C5,119.565,-153.08,top,0
C6,100.931,-139.825,top,0
C7,116.0814,-150.83,top,90
C8,109.186,-155.827,top,0
C9,125.073,-138.035,top,90
C10,92.053,-141.984,top,270
C11,106.277,-151.128,top,90
C12,119.854,-143.381,top,180
C13,119.866,-141.857,top,180
C14,119.854,-140.333,top,180
C15,113.147,-156.843,top,180
C16,101.185,-157.9225,top,180
C17,117.338,-156.843,top,0
C18,105.3365,-156.5255,top,0
C19,117.314,-155.446,top,0
C20,105.3365,-157.9225,top,0
C21,159.6424,-142.4038,top,90
C22,121.5551,-177.2399,top,90
C23,159.6932,-162.4444,top,90
C24,84.115,-158.105,top,180
C25,90.89,-167.03,top,0
C26,88.015,-166.205,top,270
C27,81.385,-159.752,top,90
C28,81.893,-166.634,top,270
C29,80.115,-166.634,top,270
D1,156.315,-176.19,top,90
D2,152.251,-176.19,top,90
D3,154.283,-176.19,top,90
D4,97.006,-141.508,top,270
D5,118.723,-148.81,top,90
D6,146.155,-177.714,top,90
D7,144.123,-177.714,top,90
D8,137.315,-143.33,top,90
D9,142.091,-177.714,top,90
D10,150.219,-177.714,top,90
D11,148.187,-177.714,top,90
EN1,163.172136,-166.81681,top,90
EN2,163.172136,-157.92681,top,90
EN3,163.172136,-146.78681,top,90
EN4,163.172136,-138.01181,top,90
F1,137.265,-134.872,top,270
L1,99.292,-150.262,top,90
L2,113.135,-142.7865,top,270
R1,80.065,-153.83,top,0
R2,80.065,-151.39,top,0
R3,135.487,-160.792,top,90
R4,129.391,-160.792,top,270
R5,82.147,-163.435,top,90
R8,111.23,-162.165,top,90
R29,132.439,-160.792,top,90
R30,105.896,-141.603,top,90
R31,105.896,-144.258,top,90
R32,112.415,-153.18,top,270
R33,110.515,-153.18,top,90
R34,133.963,-160.792,top,90
R35,122.787,-151.624,top,270
R36,124.565,-151.648,top,270
R37,105.896,-137.551,top,270
R38,127.879,-136.904,top,0
R39,126.851,-147.584,top,270
R40,123.041,-140.98,top,270
R41,126.851,-144.79,top,270
R42,127.867,-160.792,top,90
R43,126.343,-160.792,top,90
R44,130.661,-142.353,top,270
R45,130.661,-139.456,top,270
R46,124.819,-160.792,top,90
R47,130.915,-160.792,top,90
R48,132.197,-134.999,top,0
SW2,135.995,-126.998,top,180
U1,74.565,-141.33,top,0
U2,90.275,-160.78,top,180
U4,101.9525,-143.396,top,0
U5,111.5475,-149.731,top,180
U6,123.535,-146.25,top,90
U7,127.867,-140.63,top,90
U8,76.815,-160.78,top,270
U9,115.167,-160.272,top,90
U10,103.229,-161.4905,top,90
